[2024-04-30T00:11:53.743+0000] {processor.py:161} INFO - Started process (PID=44) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-04-30T00:11:53.745+0000] {processor.py:830} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2024-04-30T00:11:53.801+0000] {logging_mixin.py:188} INFO - [2024-04-30T00:11:53.801+0000] {dagbag.py:540} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-04-30T00:11:53.953+0000] {processor.py:840} INFO - DAG(s) 'conditional_dataset_and_time_based_timetable', 'dataset_produces_2', 'consume_1_or_2_with_dataset_expressions', 'dataset_consumes_1_never_scheduled', 'consume_1_and_2_with_dataset_expressions', 'dataset_produces_1', 'dataset_consumes_unknown_never_scheduled', 'dataset_consumes_1', 'dataset_consumes_1_and_2', 'consume_1_or_both_2_and_3_with_dataset_expressions' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-04-30T00:11:55.082+0000] {logging_mixin.py:188} INFO - [2024-04-30T00:11:55.081+0000] {dag.py:3096} INFO - Sync 10 DAGs
[2024-04-30T00:11:55.165+0000] {logging_mixin.py:188} INFO - [2024-04-30T00:11:55.165+0000] {dag.py:3954} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2024-04-24 01:00:00+00:00, run_after=2024-04-24 01:00:00+00:00
[2024-04-30T00:11:55.171+0000] {logging_mixin.py:188} INFO - [2024-04-30T00:11:55.171+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2024-04-30T00:11:55.174+0000] {logging_mixin.py:188} INFO - [2024-04-30T00:11:55.174+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2024-04-30T00:11:55.176+0000] {logging_mixin.py:188} INFO - [2024-04-30T00:11:55.175+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2024-04-30T00:11:55.178+0000] {logging_mixin.py:188} INFO - [2024-04-30T00:11:55.177+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2024-04-30T00:11:55.180+0000] {logging_mixin.py:188} INFO - [2024-04-30T00:11:55.179+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2024-04-30T00:11:55.182+0000] {logging_mixin.py:188} INFO - [2024-04-30T00:11:55.182+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2024-04-30T00:11:55.185+0000] {logging_mixin.py:188} INFO - [2024-04-30T00:11:55.185+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2024-04-30T00:11:55.219+0000] {logging_mixin.py:188} INFO - [2024-04-30T00:11:55.219+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_1 to 2024-04-29 00:00:00+00:00, run_after=2024-04-30 00:00:00+00:00
[2024-04-30T00:11:55.222+0000] {logging_mixin.py:188} INFO - [2024-04-30T00:11:55.222+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2024-04-30T00:11:55.360+0000] {processor.py:183} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 1.643 seconds
